Common_Name,Genus,Species,Scientific_Name,Count,Location,Date,Time
Black-bellied Whistling-Duck,Dendrocygna,autumnalis,Dendrocygna autumnalis,2,Cameron Co.--TX100--Aplomado Viewing Area,4/28/2025,8:58 AM
Black-bellied Whistling-Duck,Dendrocygna,autumnalis,Dendrocygna autumnalis,5,South Padre Is.--Birding and Nature Center,4/28/2025,9:51 AM
Black-bellied Whistling-Duck,Dendrocygna,autumnalis,Dendrocygna autumnalis,4,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),4/28/2025,1:55 PM
Black-bellied Whistling-Duck,Dendrocygna,autumnalis,Dendrocygna autumnalis,5,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
Black-bellied Whistling-Duck,Dendrocygna,autumnalis,Dendrocygna autumnalis,1,Frontera Audubon Center (LTC 058),4/27/2025,2:32 PM
Black-bellied Whistling-Duck,Dendrocygna,autumnalis,Dendrocygna autumnalis,8,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Snow Goose,Anser,caerulescens,Anser caerulescens,2,Riverlands Migratory Bird Sanctuary,12/27/2023,11:45 AM
Snow Goose,Anser,caerulescens,Anser caerulescens,2,Riverlands Migratory Bird Sanctuary,12/27/2024,1:30 PM
Greater White-fronted Goose,Anser,albifrons,Anser albifrons,40,Riverlands Migratory Bird Sanctuary,12/27/2023,11:45 AM
Greater White-fronted Goose,Anser,albifrons,Anser albifrons,50,Riverlands Migratory Bird Sanctuary,12/27/2024,11:19 AM
Cackling Goose,Branta,hutchinsii,Branta hutchinsii,2,Riverlands Migratory Bird Sanctuary,12/27/2024,11:19 AM
Canada Goose,Branta,canadensis,Branta canadensis,2,Flat River Waterfowl Impoundment,4/28/2024,7:28 AM
Canada Goose,Branta,canadensis,Branta canadensis,1,Flat River Waterfowl Impoundment,11/12/2024,8:33 AM
Canada Goose,Branta,canadensis,Branta canadensis,X,H lot,4/2/2024,
Canada Goose,Branta,canadensis,Branta canadensis,2,Sandy Creek Park,6/1/2024,8:08 AM
Canada Goose,Branta,canadensis,Branta canadensis,5,Leitner Drive/Holiday Inn Express Wetlands,2/9/2025,11:49 AM
Canada Goose,Branta,canadensis,Branta canadensis,1,Weymouth Woods Sandhills Nature Preserve,4/19/2025,6:48 AM
Canada Goose,Branta,canadensis,Branta canadensis,50,Riverlands Migratory Bird Sanctuary,12/27/2023,9:59 AM
Canada Goose,Branta,canadensis,Branta canadensis,55,Riverlands Migratory Bird Sanctuary,12/27/2023,11:45 AM
Canada Goose,Branta,canadensis,Branta canadensis,10,Riverlands Migratory Bird Sanctuary,12/27/2024,11:19 AM
Canada Goose,Branta,canadensis,Branta canadensis,25,Riverlands Migratory Bird Sanctuary,12/27/2024,1:30 PM
Canada Goose,Branta,canadensis,Branta canadensis,5,Creve Coeur Lake Memorial Park,12/26/2023,9:16 AM
Trumpeter Swan,Cygnus,buccinator,Cygnus buccinator,20,Riverlands Migratory Bird Sanctuary,12/27/2023,9:59 AM
Trumpeter Swan,Cygnus,buccinator,Cygnus buccinator,3,Riverlands Migratory Bird Sanctuary,12/27/2023,11:45 AM
Trumpeter Swan,Cygnus,buccinator,Cygnus buccinator,2,Riverlands Migratory Bird Sanctuary,12/27/2024,1:30 PM
Muscovy Duck,Cairina,moschata,Cairina moschata,2,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Muscovy Duck (Domestic type),Cairina,moschata (Domestic type),Cairina moschata (Domestic type),1,England Parkway Pond,12/22/2024,2:21 PM
Wood Duck,Aix,sponsa,Aix sponsa,8,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,12/30/2024,9:41 AM
Blue-winged Teal,Spatula,discors,Spatula discors,2,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
Blue-winged Teal,Spatula,discors,Spatula discors,2,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Northern Shoveler,Spatula,clypeata,Spatula clypeata,2,Riverlands Migratory Bird Sanctuary,12/27/2023,9:59 AM
Northern Shoveler,Spatula,clypeata,Spatula clypeata,1,Riverlands Migratory Bird Sanctuary,12/27/2024,11:19 AM
Northern Shoveler,Spatula,clypeata,Spatula clypeata,2,Riverlands Migratory Bird Sanctuary,12/27/2024,1:30 PM
Northern Shoveler,Spatula,clypeata,Spatula clypeata,14,England Parkway Pond,12/22/2024,2:21 PM
Northern Shoveler,Spatula,clypeata,Spatula clypeata,40,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,1/1/2024,10:11 AM
Northern Shoveler,Spatula,clypeata,Spatula clypeata,X,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,12/30/2024,9:41 AM
Gadwall,Mareca,strepera,Mareca strepera,1,White Rock Lake & Old Fish Hatchery (PPW-W 086),12/30/2023,11:39 AM
Gadwall,Mareca,strepera,Mareca strepera,7,White Rock Lake & Old Fish Hatchery (PPW-W 086),12/30/2023,12:33 PM
Gadwall,Mareca,strepera,Mareca strepera,7,White Rock Lake & Old Fish Hatchery (PPW-W 086),12/30/2023,1:38 PM
Gadwall,Mareca,strepera,Mareca strepera,6,Riverlands Migratory Bird Sanctuary,12/27/2024,11:19 AM
Gadwall,Mareca,strepera,Mareca strepera,3,Riverlands Migratory Bird Sanctuary,12/27/2024,1:30 PM
Gadwall,Mareca,strepera,Mareca strepera,1,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Gadwall,Mareca,strepera,Mareca strepera,3,England Parkway Pond,12/22/2024,2:21 PM
Gadwall,Mareca,strepera,Mareca strepera,100,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,1/1/2024,10:11 AM
Gadwall,Mareca,strepera,Mareca strepera,X,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,12/30/2024,9:41 AM
American Wigeon,Mareca,americana,Mareca americana,1,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
American Wigeon,Mareca,americana,Mareca americana,20,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,1/1/2024,10:11 AM
American Wigeon,Mareca,americana,Mareca americana,50,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,12/30/2024,9:41 AM
Mallard,Anas,platyrhynchos,Anas platyrhynchos,2,White Rock Lake & Old Fish Hatchery (PPW-W 086),12/30/2023,12:33 PM
Mallard,Anas,platyrhynchos,Anas platyrhynchos,12,Beaver Marsh Preserve,11/24/2023,7:50 AM
Mallard,Anas,platyrhynchos,Anas platyrhynchos,2,Duke University--Reclamation Pond,1/16/2024,9:07 AM
Mallard,Anas,platyrhynchos,Anas platyrhynchos,1,Duke University--Reclamation Pond,2/19/2024,10:41 AM
Mallard,Anas,platyrhynchos,Anas platyrhynchos,3,Duke University--Reclamation Pond,2/20/2024,9:12 AM
Mallard,Anas,platyrhynchos,Anas platyrhynchos,8,Jordan Game Land--New Hope Creek (Durham Co. Seasonal Mudflats),7/21/2024,7:02 AM
Mallard,Anas,platyrhynchos,Anas platyrhynchos,9,"16 North Trumbull Circle, Saint Charles, Missouri, US (38.814, -90.51)",12/25/2023,2:03 PM
Mallard,Anas,platyrhynchos,Anas platyrhynchos,30,Riverlands Migratory Bird Sanctuary,12/27/2023,9:59 AM
Mallard,Anas,platyrhynchos,Anas platyrhynchos,13,Riverlands Migratory Bird Sanctuary,12/27/2023,11:45 AM
Mallard,Anas,platyrhynchos,Anas platyrhynchos,55,Riverlands Migratory Bird Sanctuary,12/27/2024,11:19 AM
Mallard,Anas,platyrhynchos,Anas platyrhynchos,30,Riverlands Migratory Bird Sanctuary,12/27/2024,1:30 PM
Mallard,Anas,platyrhynchos,Anas platyrhynchos,20,England Parkway Pond,12/22/2024,2:21 PM
Mallard,Anas,platyrhynchos,Anas platyrhynchos,30,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,1/1/2024,10:11 AM
Mallard,Anas,platyrhynchos,Anas platyrhynchos,X,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,12/30/2024,9:41 AM
Mallard (Domestic type),Anas,platyrhynchos (Domestic type),Anas platyrhynchos (Domestic type),1,Duke University--Reclamation Pond,11/4/2023,10:03 AM
Mallard (Domestic type),Anas,platyrhynchos (Domestic type),Anas platyrhynchos (Domestic type),1,Duke University--Reclamation Pond,4/24/2024,8:06 AM
Mottled Duck,Anas,fulvigula,Anas fulvigula,2,South Padre Is.--Birding and Nature Center,4/28/2025,9:51 AM
Mottled Duck,Anas,fulvigula,Anas fulvigula,1,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),4/28/2025,1:55 PM
Mottled Duck,Anas,fulvigula,Anas fulvigula,2,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
Mallard/Mottled Duck,Anas,platyrhynchos/fulvigula,Anas platyrhynchos/fulvigula,1,South Padre Is.--Birding and Nature Center,4/28/2025,9:51 AM
Northern Pintail,Anas,acuta,Anas acuta,10,Riverlands Migratory Bird Sanctuary,12/27/2024,1:30 PM
Northern Pintail,Anas,acuta,Anas acuta,60,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,1/1/2024,10:11 AM
Northern Pintail,Anas,acuta,Anas acuta,50,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,12/30/2024,9:41 AM
Green-winged Teal,Anas,crecca,Anas crecca,4,Riverlands Migratory Bird Sanctuary,12/27/2023,9:59 AM
Green-winged Teal,Anas,crecca,Anas crecca,50,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,1/1/2024,10:11 AM
Green-winged Teal,Anas,crecca,Anas crecca,X,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,12/30/2024,9:41 AM
Canvasback,Aythya,valisineria,Aythya valisineria,1,England Parkway Pond,12/22/2024,2:21 PM
Canvasback,Aythya,valisineria,Aythya valisineria,7,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,1/1/2024,10:11 AM
Redhead,Aythya,americana,Aythya americana,1,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,1/1/2024,10:11 AM
Ring-necked Duck,Aythya,collaris,Aythya collaris,8,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,1/1/2024,10:11 AM
Ring-necked Duck,Aythya,collaris,Aythya collaris,X,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,12/30/2024,9:41 AM
Lesser Scaup,Aythya,affinis,Aythya affinis,10,Riverlands Migratory Bird Sanctuary,12/27/2024,1:30 PM
Lesser Scaup,Aythya,affinis,Aythya affinis,7,England Parkway Pond,12/22/2024,2:21 PM
Lesser Scaup,Aythya,affinis,Aythya affinis,1,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,1/1/2024,10:11 AM
Bufflehead,Bucephala,albeola,Bucephala albeola,2,White Rock Lake & Old Fish Hatchery (PPW-W 086),12/30/2023,1:38 PM
Bufflehead,Bucephala,albeola,Bucephala albeola,5,Riverlands Migratory Bird Sanctuary,12/27/2023,9:59 AM
Bufflehead,Bucephala,albeola,Bucephala albeola,2,Riverlands Migratory Bird Sanctuary,12/27/2024,11:19 AM
Bufflehead,Bucephala,albeola,Bucephala albeola,12,England Parkway Pond,12/22/2024,2:21 PM
Bufflehead,Bucephala,albeola,Bucephala albeola,5,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,1/1/2024,10:11 AM
Bufflehead,Bucephala,albeola,Bucephala albeola,50,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,12/30/2024,9:41 AM
Common Goldeneye,Bucephala,clangula,Bucephala clangula,7,Riverlands Migratory Bird Sanctuary,12/27/2024,11:19 AM
Common Goldeneye,Bucephala,clangula,Bucephala clangula,50,Riverlands Migratory Bird Sanctuary,12/27/2024,1:30 PM
Hooded Merganser,Lophodytes,cucullatus,Lophodytes cucullatus,2,Beaver Marsh Preserve,11/24/2023,7:50 AM
Hooded Merganser,Lophodytes,cucullatus,Lophodytes cucullatus,2,Lake Maria Sanchez,1/17/2025,7:46 AM
Common Merganser,Mergus,merganser,Mergus merganser,2,Riverlands Migratory Bird Sanctuary,12/27/2024,1:30 PM
Red-breasted Merganser,Mergus,serrator,Mergus serrator,3,Fort Macon SP--Beach,4/13/2025,11:22 AM
Red-breasted Merganser,Mergus,serrator,Mergus serrator,6,Riverlands Migratory Bird Sanctuary,12/27/2024,1:30 PM
Ruddy Duck,Oxyura,jamaicensis,Oxyura jamaicensis,2,Riverlands Migratory Bird Sanctuary,12/27/2024,1:30 PM
Ruddy Duck,Oxyura,jamaicensis,Oxyura jamaicensis,1,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,1/1/2024,10:11 AM
Plain Chachalaca,Ortalis,vetula,Ortalis vetula,4,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
Plain Chachalaca,Ortalis,vetula,Ortalis vetula,3,Frontera Audubon Center (LTC 058),4/27/2025,2:32 PM
Plain Chachalaca,Ortalis,vetula,Ortalis vetula,18,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Northern Bobwhite,Colinus,virginianus,Colinus virginianus,2,Falcon State Park--Butterfly Garden (Starr Co.),4/26/2025,4:39 PM
Northern Bobwhite,Colinus,virginianus,Colinus virginianus,6,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Northern Bobwhite,Colinus,virginianus,Colinus virginianus,2,Starr County Park (Falcon Heights)(LTC 082),4/26/2025,2:46 PM
Scaled Quail,Callipepla,squamata,Callipepla squamata,2,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Double-spurred Spurfowl,Pternistis,bicalcaratus,Pternistis bicalcaratus,X,Kissidougou,6/30/2023,
Rock Pigeon (Feral Pigeon),Columba,livia (Feral Pigeon),Columba livia (Feral Pigeon),12,White Rock Lake & Old Fish Hatchery (PPW-W 086),12/30/2023,12:33 PM
Rock Pigeon (Feral Pigeon),Columba,livia (Feral Pigeon),Columba livia (Feral Pigeon),8,Durham,11/5/2023,7:02 AM
Rock Pigeon (Feral Pigeon),Columba,livia (Feral Pigeon),Columba livia (Feral Pigeon),5,Morris Green Park,1/7/2024,1:27 PM
Rock Pigeon (Feral Pigeon),Columba,livia (Feral Pigeon),Columba livia (Feral Pigeon),10,Riverlands Migratory Bird Sanctuary,12/27/2024,1:30 PM
Rock Pigeon (Feral Pigeon),Columba,livia (Feral Pigeon),Columba livia (Feral Pigeon),2,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,12/30/2024,9:41 AM
Red-billed Pigeon,Patagioenas,flavirostris,Patagioenas flavirostris,6,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Eurasian Collared-Dove,Streptopelia,decaocto,Streptopelia decaocto,1,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
Red-eyed Dove,Streptopelia,semitorquata,Streptopelia semitorquata,3,"Conakry, GN",7/3/2023,6:30 PM
Red-eyed Dove,Streptopelia,semitorquata,Streptopelia semitorquata,1,"Conakry, GN",7/4/2023,11:25 AM
Red-eyed Dove,Streptopelia,semitorquata,Streptopelia semitorquata,X,Macenta,6/25/2023,
Red-eyed Dove,Streptopelia,semitorquata,Streptopelia semitorquata,2,Macenta,6/29/2023,7:49 AM
Laughing Dove,Spilopelia,senegalensis,Spilopelia senegalensis,5,"Conakry, GN",7/2/2023,3:00 PM
Laughing Dove,Spilopelia,senegalensis,Spilopelia senegalensis,4,"Conakry, GN",7/2/2023,7:02 PM
Laughing Dove,Spilopelia,senegalensis,Spilopelia senegalensis,7,"Conakry, GN",7/3/2023,10:56 AM
Laughing Dove,Spilopelia,senegalensis,Spilopelia senegalensis,3,"Conakry, GN",7/3/2023,6:30 PM
Laughing Dove,Spilopelia,senegalensis,Spilopelia senegalensis,7,"Conakry, GN",7/4/2023,11:25 AM
Laughing Dove,Spilopelia,senegalensis,Spilopelia senegalensis,X,Soulemania,6/30/2023,
Laughing Dove,Spilopelia,senegalensis,Spilopelia senegalensis,X,Soulemania,7/1/2023,
Laughing Dove,Spilopelia,senegalensis,Spilopelia senegalensis,1,"Soulemania, Région de Faranah, GN",6/30/2023,5:56 PM
Inca Dove,Columbina,inca,Columbina inca,5,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
Inca Dove,Columbina,inca,Columbina inca,1,Falcon State Park--Butterfly Garden (Starr Co.),4/26/2025,4:39 PM
Common Ground Dove,Columbina,passerina,Columbina passerina,2,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
Common Ground Dove,Columbina,passerina,Columbina passerina,2,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
White-tipped Dove,Leptotila,verreauxi,Leptotila verreauxi,11,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
White-tipped Dove,Leptotila,verreauxi,Leptotila verreauxi,5,Estero Llano Grande SP--Tropical Zone only,4/27/2025,12:52 PM
White-tipped Dove,Leptotila,verreauxi,Leptotila verreauxi,6,Frontera Audubon Center (LTC 058),4/27/2025,2:32 PM
White-tipped Dove,Leptotila,verreauxi,Leptotila verreauxi,8,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
White-winged Dove,Zenaida,asiatica,Zenaida asiatica,16,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
White-winged Dove,Zenaida,asiatica,Zenaida asiatica,5,Estero Llano Grande SP--Tropical Zone only,4/27/2025,12:52 PM
White-winged Dove,Zenaida,asiatica,Zenaida asiatica,4,Frontera Audubon Center (LTC 058),4/27/2025,2:32 PM
White-winged Dove,Zenaida,asiatica,Zenaida asiatica,5,Falcon State Park--Butterfly Garden (Starr Co.),4/26/2025,4:39 PM
White-winged Dove,Zenaida,asiatica,Zenaida asiatica,45,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
White-winged Dove,Zenaida,asiatica,Zenaida asiatica,4,Starr County Park (Falcon Heights)(LTC 082),4/26/2025,2:46 PM
Mourning Dove,Zenaida,macroura,Zenaida macroura,1,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),4/28/2025,1:55 PM
Mourning Dove,Zenaida,macroura,Zenaida macroura,4,Fort Macon SP--Beach,4/13/2025,11:22 AM
Mourning Dove,Zenaida,macroura,Zenaida macroura,1,Duke University--Reclamation Pond,1/16/2024,9:07 AM
Mourning Dove,Zenaida,macroura,Zenaida macroura,1,Duke University--Reclamation Pond,2/19/2024,10:41 AM
Mourning Dove,Zenaida,macroura,Zenaida macroura,5,Duke University--Reclamation Pond,2/20/2024,9:12 AM
Mourning Dove,Zenaida,macroura,Zenaida macroura,1,Duke University--Reclamation Pond,4/6/2024,9:19 AM
Mourning Dove,Zenaida,macroura,Zenaida macroura,1,Duke University--Reclamation Pond,4/24/2024,8:06 AM
Mourning Dove,Zenaida,macroura,Zenaida macroura,1,Duke University--Reclamation Pond,5/21/2024,8:04 AM
Mourning Dove,Zenaida,macroura,Zenaida macroura,1,Durham,11/5/2023,7:02 AM
Mourning Dove,Zenaida,macroura,Zenaida macroura,3,Durham,11/5/2023,8:22 AM
Mourning Dove,Zenaida,macroura,Zenaida macroura,1,Flat River Waterfowl Impoundment,4/28/2024,7:28 AM
Mourning Dove,Zenaida,macroura,Zenaida macroura,2,Jordan Game Land--New Hope Creek (Durham Co. Seasonal Mudflats),7/21/2024,7:02 AM
Mourning Dove,Zenaida,macroura,Zenaida macroura,1,Morris Green Park,1/7/2024,1:27 PM
Mourning Dove,Zenaida,macroura,Zenaida macroura,1,Sandy Creek Park,6/1/2024,8:08 AM
Mourning Dove,Zenaida,macroura,Zenaida macroura,1,Sarah P. Duke Gardens (please do not report the ducks),3/22/2024,8:15 AM
Mourning Dove,Zenaida,macroura,Zenaida macroura,4,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
Mourning Dove,Zenaida,macroura,Zenaida macroura,2,Estero Llano Grande SP--Tropical Zone only,4/27/2025,12:52 PM
Mourning Dove,Zenaida,macroura,Zenaida macroura,2,Frontera Audubon Center (LTC 058),4/27/2025,2:32 PM
Mourning Dove,Zenaida,macroura,Zenaida macroura,3,"16 North Trumbull Circle, Saint Charles, Missouri, US (38.814, -90.51)",12/25/2023,2:03 PM
Mourning Dove,Zenaida,macroura,Zenaida macroura,3,Frontier Park,12/26/2023,3:47 PM
Mourning Dove,Zenaida,macroura,Zenaida macroura,2,Riverlands Migratory Bird Sanctuary,12/27/2024,1:30 PM
Mourning Dove,Zenaida,macroura,Zenaida macroura,2,Falcon State Park--Butterfly Garden (Starr Co.),4/26/2025,4:39 PM
Mourning Dove,Zenaida,macroura,Zenaida macroura,40,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Mourning Dove,Zenaida,macroura,Zenaida macroura,3,Starr County Park (Falcon Heights)(LTC 082),4/26/2025,2:46 PM
Mourning Dove,Zenaida,macroura,Zenaida macroura,1,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,1/1/2024,10:11 AM
Mourning Dove,Zenaida,macroura,Zenaida macroura,1,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,12/30/2024,9:41 AM
Western Plantain-eater,Crinifer,piscator,Crinifer piscator,3,"Conakry, GN",7/2/2023,7:02 PM
Western Plantain-eater,Crinifer,piscator,Crinifer piscator,1,"Conakry, GN",7/3/2023,10:56 AM
Western Plantain-eater,Crinifer,piscator,Crinifer piscator,7,"Conakry, GN",7/3/2023,6:30 PM
Western Plantain-eater,Crinifer,piscator,Crinifer piscator,2,"Conakry, GN",7/4/2023,11:25 AM
Violet Turaco,Tauraco,violaceus,Tauraco violaceus,2,"N1, Sandenia, Région de Faranah, GN",7/1/2023,8:00 AM
Violet Turaco,Tauraco,violaceus,Tauraco violaceus,X,Sandenia,7/1/2023,
Groove-billed Ani,Crotophaga,sulcirostris,Crotophaga sulcirostris,2,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
Groove-billed Ani,Crotophaga,sulcirostris,Crotophaga sulcirostris,5,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Greater Roadrunner,Geococcyx,californianus,Geococcyx californianus,1,Falcon State Park--Butterfly Garden (Starr Co.),4/26/2025,4:39 PM
Greater Roadrunner,Geococcyx,californianus,Geococcyx californianus,1,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Senegal Coucal,Centropus,senegalensis,Centropus senegalensis,1,"Conakry, GN",7/4/2023,11:25 AM
Yellow-billed Cuckoo,Coccyzus,americanus,Coccyzus americanus,1,Flat River Waterfowl Impoundment,4/28/2024,7:28 AM
Yellow-billed Cuckoo,Coccyzus,americanus,Coccyzus americanus,1,Jordan Game Land--New Hope Creek (Durham Co. Seasonal Mudflats),7/21/2024,7:02 AM
Yellow-billed Cuckoo,Coccyzus,americanus,Coccyzus americanus,1,Sarah P. Duke Gardens (please do not report the ducks),9/19/2023,9:05 AM
Yellow-billed Cuckoo,Coccyzus,americanus,Coccyzus americanus,1,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
Yellow-billed Cuckoo,Coccyzus,americanus,Coccyzus americanus,6,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Lesser Nighthawk,Chordeiles,acutipennis,Chordeiles acutipennis,3,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Common Pauraque,Nyctidromus,albicollis,Nyctidromus albicollis,1,Estero Llano Grande SP--Tropical Zone only,4/27/2025,12:52 PM
Common Pauraque,Nyctidromus,albicollis,Nyctidromus albicollis,1,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Chimney Swift,Chaetura,pelagica,Chaetura pelagica,4,Cameron Co.--TX100--Aplomado Viewing Area,4/28/2025,8:58 AM
Chimney Swift,Chaetura,pelagica,Chaetura pelagica,1,Campus Dr. (Duke University),10/3/2023,9:17 AM
Chimney Swift,Chaetura,pelagica,Chaetura pelagica,5,Jordan Game Land--New Hope Creek (Durham Co. Seasonal Mudflats),7/21/2024,7:02 AM
Chimney Swift,Chaetura,pelagica,Chaetura pelagica,15,Sandy Creek Park,6/1/2024,8:08 AM
Chimney Swift,Chaetura,pelagica,Chaetura pelagica,1,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
Chimney Swift,Chaetura,pelagica,Chaetura pelagica,7,Estero Llano Grande SP--Tropical Zone only,4/27/2025,12:52 PM
Chimney Swift,Chaetura,pelagica,Chaetura pelagica,4,Frontera Audubon Center (LTC 058),4/27/2025,2:32 PM
Chimney Swift,Chaetura,pelagica,Chaetura pelagica,1,Weymouth Woods Sandhills Nature Preserve,4/19/2025,6:48 AM
Chimney Swift,Chaetura,pelagica,Chaetura pelagica,3,Brumley Nature Preserve--North,10/5/2024,8:26 AM
Chimney Swift,Chaetura,pelagica,Chaetura pelagica,1,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Little Swift,Apus,affinis,Apus affinis,X,Bridge,6/27/2023,
Little Swift,Apus,affinis,Apus affinis,5,Macenta,6/30/2023,10:53 AM
Ruby-throated Hummingbird,Archilochus,colubris,Archilochus colubris,1,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),4/28/2025,1:55 PM
Ruby-throated Hummingbird,Archilochus,colubris,Archilochus colubris,1,Jordan Game Land--New Hope Creek (Durham Co. Seasonal Mudflats),7/21/2024,7:02 AM
Ruby-throated Hummingbird,Archilochus,colubris,Archilochus colubris,1,Sarah P. Duke Gardens (please do not report the ducks),9/14/2024,9:17 AM
Ruby-throated Hummingbird,Archilochus,colubris,Archilochus colubris,1,Weymouth Woods Sandhills Nature Preserve,4/19/2025,6:48 AM
Black-chinned Hummingbird,Archilochus,alexandri,Archilochus alexandri,1,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
Black-chinned Hummingbird,Archilochus,alexandri,Archilochus alexandri,1,Frontera Audubon Center (LTC 058),4/27/2025,2:32 PM
Ruby-throated/Black-chinned Hummingbird,Archilochus,colubris/alexandri,Archilochus colubris/alexandri,1,Frontera Audubon Center (LTC 058),4/27/2025,2:32 PM
Buff-bellied Hummingbird,Amazilia,yucatanensis,Amazilia yucatanensis,1,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
Sora,Porzana,carolina,Porzana carolina,4,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
Common Gallinule,Gallinula,galeata,Gallinula galeata,1,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),4/28/2025,1:55 PM
Common Gallinule,Gallinula,galeata,Gallinula galeata,4,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
American Coot,Fulica,americana,Fulica americana,9,White Rock Lake & Old Fish Hatchery (PPW-W 086),12/30/2023,11:39 AM
American Coot,Fulica,americana,Fulica americana,14,White Rock Lake & Old Fish Hatchery (PPW-W 086),12/30/2023,12:33 PM
American Coot,Fulica,americana,Fulica americana,5,White Rock Lake & Old Fish Hatchery (PPW-W 086),12/30/2023,1:38 PM
American Coot,Fulica,americana,Fulica americana,5,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
